Fecha,Coparticipación Bruta
10/4/2026,"$408,196,700.00"
13/4/2026,"$1,811,508,809.00"
14/4/2026,"$678,504,677.00"
15/4/2026,"$667,759,270.00"
16/4/2026,"$229,911,158.00"
17/4/2026,"$323,225,757.00"
20/4/2026,"$507,688,052.00"
21/4/2026,"$939,052,838.00"
22/4/2026,"$912,177,133.00"
23/4/2026,"$794,996,281.00"
24/4/2026,"$602,191,245.00"
27/4/2026,"$715,456,246.00"
28/4/2026,"$318,056,599.00"
29/4/2026,"$371,363,959.00"
30/4/2026,"$89,314,292.00"
4/5/2026,"$59,715,857.00"
5/5/2026,"$56,482,176.00"
6/5/2026,"$116,193,361.00"
7/5/2026,"$159,686,392.00"
8/5/2026,"$254,473,227.00"
11/5/2026,"$375,371,636.00"
12/5/2026,"$1,690,869,358.00"
13/5/2026,"$820,752,313.00"
14/5/2026,"$467,211,981.00"
15/5/2026,"$598,788,955.00"
18/5/2026,"$1,184,511,700.00"
19/5/2026,"$1,289,760,499.00"
20/5/2026,"$1,236,076,194.00"
21/5/2026,"$1,038,332,028.00"
22/5/2026,"$985,404,572.00"
26/5/2026,"$805,117,840.00"
27/5/2026,"$1,050,954,586.00"
28/5/2026,"$374,563,299.00"
29/5/2026,"$118,209,686.00"
1/6/2026,"$250,498,609.00"
2/6/2026,"$176,584,275.00"
3/6/2026,"$86,313,099.00"
4/6/2026,"$68,348,086.00"
5/6/2026,"$278,142,142.00"
8/6/2026,"$131,191,206.00"
9/6/2026,"$266,924,495.00"
10/6/2026,"$681,172,560.00"
11/6/2026,"$1,903,150,178.00"
12/6/2026,"$447,794,083.00"
16/6/2026,"$372,662,740.00"
17/6/2026,"$185,644,603.00"
18/6/2026,"$316,881,872.00"
19/6/2026,"$599,397,495.00"
22/6/2026,"$1,640,775,939.00"
23/6/2026,"$770,308,448.00"
24/6/2026,"$1,088,281,477.00"
25/6/2026,"$955,626,495.00"
26/6/2026,"$624,337,266.00"
29/6/2026,"$126,603,756.00"
30/6/2026,"$209,288,642.00"
1/7/2026,"$360,397,695.00"
2/7/2026,"$110,819,875.00"
3/7/2026,"$87,295,204.00"
6/7/2026,"$78,902,564.00"
7/7/2026,"$316,452,867.00"
8/7/2026,"$211,626,039.00"
13/7/2026,"$433,796,234.00"
14/7/2026,"$1,780,418,068.00"
15/7/2026,"$1,403,044,425.00"
16/7/2026,"$793,716,505.00"
17/7/2026,"$554,039,750.00"
20/7/2026,"$627,120,780.00"
21/7/2026,"$928,103,500.00"
22/7/2026,"$1,207,087,397.00"
23/7/2026,"$889,512,618.00"
24/7/2026,"$717,478,631.00"
27/7/2026,"$972,682,473.00"
28/7/2026,"$588,903,501.00"
29/7/2026,"$634,900,069.00"
30/7/2026,"$92,646,255.00"
31/7/2026,"$63,886,132.00"
3/8/2026,"$54,167,233.00"
4/8/2026,"$103,676,540.00"
5/8/2026,"$142,213,369.00"
6/8/2026,"$162,597,690.00"
7/8/2026,"$409,532,976.00"
10/8/2026,"$412,379,595.00"
11/8/2026,"$2,035,340,886.00"
12/8/2026,"$929,214,153.00"
13/8/2026,"$564,742,798.00"
14/8/2026,"$532,873,626.00"
18/8/2026,"$393,939,254.00"
19/8/2026,"$369,398,754.00"
20/8/2026,"$1,107,334,958.00"
21/8/2026,"$1,104,067,872.00"
24/8/2026,"$1,354,760,932.00"
25/8/2026,"$1,152,318,016.00"
26/8/2026,"$685,729,463.00"
27/8/2026,"$350,912,483.00"
